DD_TABLE_ALIAS  DD_KEY_NUMBER   DD_SEGMENT_SEQ  DD_SEGMENT_COL  DD_SEGMENT_SORT DD_SEGMENT_POS  DD_SEGMENT_OFF  DD_SEGMENT_LEN  
APW_DISBURSEMNTS	00	06	AP_INV_NO       		0	0	0	
APW_INVOICENAME 	00	01	FIRM_ID         		0	0	0	
APW_INVOICENAME 	00	02	AP_TYPE         		0	0	0	
APW_INVOICENAME 	00	03	ALT_SEQUENCE    		0	0	0	
APW_INVOICENAME 	00	04	VENDOR_ID       		0	0	0	
APW_INVOICENAME 	00	05	AP_INV_NO       		0	0	0	
APW_INVOICENAME 	00	06	SEQUENCE_00     		0	0	0	
APW_INVOICEPURGE	00	01	FIRM_ID         		0	0	0	
APW_INVOICEPURGE	00	02	AP_TYPE         		0	0	0	
APW_INVOICEPURGE	00	03	AP_INV_NO       		0	0	0	
APW_INVOICEPURGE	00	04	CHECK_NO        		0	0	0	
APW_PURCHASEGL  	00	01	FIRM_ID         		0	0	0	
APW_PURCHASEGL  	00	02	AP_TYPE         		0	0	0	
APW_PURCHASEGL  	00	03	GL_ACCOUNT      		0	0	0	
APW_PURCHASEGL  	00	04	VENDOR_ID       		0	0	0	
APW_PURCHASEGL  	00	05	INVOICE_TYPE    		0	0	0	
APW_PURCHASEGL  	00	06	REFERENCE       		0	0	0	
APW_PURCHASEGL  	00	07	ACCTING_DATE    		0	0	0	
APW_PURCHASENAME	00	01	FIRM_ID         		0	0	0	
APW_PURCHASENAME	00	02	AP_TYPE         		0	0	0	
APW_PURCHASENAME	00	03	ALT_SEQUENCE    		0	0	0	
APW_PURCHASENAME	00	04	VENDOR_ID       		0	0	0	
APW_PURCHASENAME	00	05	INVOICE_TYPE    		0	0	0	
APW_PURCHASENAME	00	06	REFERENCE       		0	0	0	
APW_PURCHASENAME	00	07	GL_ACCOUNT      		0	0	0	
APW_PURCHASENAME	00	08	ACCTING_DATE    		0	0	0	
ARC_CASHCODE    	00	01	FIRM_ID         		0	0	0	
ARC_CASHCODE    	00	02	RECORD_ID_C     		0	0	0	
ARC_CASHCODE    	00	03	CASH_REC_CD     		0	0	0	
ARC_CUSTTYPE    	00	01	FIRM_ID         		0	0	0	
ARC_CUSTTYPE    	00	02	RECORD_ID_L     		0	0	0	
ARC_CUSTTYPE    	00	03	CUSTOMER_TYPE   		0	0	0	
ARC_DISTCODE    	00	01	FIRM_ID         					
ARC_DISTCODE    	00	02	RECORD_ID_D     					
ARC_DISTCODE    	00	03	AR_DIST_CODE    					
ARC_SALECODE    	00	01	FIRM_ID         		0	0	0	
ARC_SALECODE    	00	02	RECORD_ID_F     		0	0	0	
ARC_SALECODE    	00	03	SLSPSN_CODE     		0	0	0	
ARC_SALESDISC   	00	01	FIRM_ID         					
ARC_SALESDISC   	00	02	RECORD_ID_I     					
ARC_SALESDISC   	00	03	SLS_DISC_CD     					
ARC_TERMCODE    	00	01	FIRM_ID         					
ARC_TERMCODE    	00	02	RECORD_ID_A     					
ARC_TERMCODE    	00	03	AR_TERMS_CODE   		0	0	0	
ARC_TERRCODE    	00	01	FIRM_ID         		0	0	0	
ARC_TERRCODE    	00	02	RECORD_ID_H     		0	0	0	
ARC_TERRCODE    	00	03	TERRITORY       		0	0	0	
ARE_CASHBAL     	00	01	FIRM_ID         		0	0	0	
ARE_CASHBAL     	00	02	AR_TYPE         		0	0	0	
ARE_CASHBAL     	00	03	RESERVED_STR    		0	0	0	
ARE_CASHBAL     	00	04	CUSTOMER_ID     		0	0	0	
ARE_CASHBAL     	00	05	AR_INV_NO       		0	0	0	
ARE_CASHDET     	00	01	FIRM_ID         		0	0	0	
ARE_CASHDET     	00	02	AR_TYPE         		0	0	0	
ARE_CASHDET     	00	03	RESERVED_KEY_01 		0	0	0	
ARE_CASHDET     	00	04	RECEIPT_DATE    		0	0	0	
ARE_CASHDET     	00	05	CUSTOMER_ID     		0	0	0	
ARE_CASHDET     	00	06	CASH_REC_CD     		0	0	0	
ARE_CASHDET     	00	07	AR_CHECK_NO     		0	0	0	
ARE_CASHDET     	00	08	RESERVED_KEY_02 		0	0	0	
ARE_CASHDET     	00	09	AR_INV_NO       		0	0	0	
ARE_CASHGL      	00	01	FIRM_ID         		0	0	0	
ARE_CASHGL      	00	02	AR_TYPE         		0	0	0	
ARE_CASHGL      	00	03	RESERVED_KEY_01 		0	0	0	
ARE_CASHGL      	00	04	RECEIPT_DATE    		0	0	0	
ARE_CASHGL      	00	05	CUSTOMER_ID     		0	0	0	
ARE_CASHGL      	00	06	CASH_REC_CD     		0	0	0	
ARE_CASHGL      	00	07	AR_CHECK_NO     		0	0	0	
ARE_CASHGL      	00	08	RESERVED_KEY_02 		0	0	0	
ARE_CASHGL      	00	09	GL_ACCOUNT      					
ARE_CASHHDR     	00	01	FIRM_ID         		0	0	0	
ARE_CASHHDR     	00	02	AR_TYPE         		0	0	0	
ARE_CASHHDR     	00	03	RESERVED_KEY_01 		0	0	0	
ARE_CASHHDR     	00	04	RECEIPT_DATE    		0	0	0	
ARE_CASHHDR     	00	05	CUSTOMER_ID     		0	0	0	
ARE_CASHHDR     	00	06	CASH_REC_CD     		0	0	0	
ARE_CASHHDR     	00	07	AR_CHECK_NO     		0	0	0	
ARE_CASHHDR     	00	08	RESERVED_KEY_02 		0	0	0	
ARE_CNVINV      	00	01	FIRM_ID         		0	0	0	
ARE_CNVINV      	00	02	AR_TYPE         		0	0	0	
ARE_CNVINV      	00	03	CUSTOMER_ID     		0	0	0	
ARE_CNVINV      	00	04	AR_INV_NO       		0	0	0	
ARE_DATECHANGE  	00	01	FIRM_ID         		0	0	0	
ARE_DATECHANGE  	00	02	AR_TYPE         		0	0	0	
ARE_DATECHANGE  	00	03	CUSTOMER_ID     		0	0	0	
ARE_DATECHANGE  	00	04	AR_INV_NO_VER   		0	0	0	
ARE_FINCHG      	00	01	FIRM_ID         		0	0	0	
ARE_FINCHG      	00	02	AR_TYPE         		0	0	0	
ARE_FINCHG      	00	03	CUSTOMER_ID     		0	0	0	
ARE_FINCHG      	00	04	AR_INV_NO       		0	0	0	
ARE_INVDET      	00	01	FIRM_ID         		0	0	0	
ARE_INVDET      	00	02	AR_INV_NO       		0	0	0	
ARE_INVDET      	00	03	LINE_NO         		0	0	0	
ARE_INVHDR      	00	01	FIRM_ID         		0	0	0	
ARE_INVHDR      	00	02	AR_INV_NO       		0	0	0	
ARM_CUSTCMTS    	00	01	FIRM_ID         		0	0	0	
ARM_CUSTCMTS    	00	02	CUSTOMER_ID     		0	0	0	
ARM_CUSTCMTS    	00	03	SEQUENCE_NUM    		0	0	0	
ARM_CUSTDET     	00	01	FIRM_ID         		0	0	0	
ARM_CUSTDET     	00	02	CUSTOMER_ID     		0	0	0	
ARM_CUSTDET     	00	03	AR_TYPE         		0	0	0	
ARM_CUSTDET     	01	01	FIRM_ID         					
ARM_CUSTDET     	01	02	SLSPSN_CODE     					
ARM_CUSTDET     	01	03	CUSTOMER_ID     					
ARM_CUSTDET     	02	01	FIRM_ID         					
ARM_CUSTDET     	02	02	TERRITORY       					
ARM_CUSTDET     	02	03	CUSTOMER_ID     					
