Description,Menu ID,Type,Alias,Program,AON Equiv.,Who,Comp,CodePort,DocOut,Comments
Report/Account Maintenance,GLM_GA,T,,glm_ga.aon,GLM.GA,,,,,
Consolidated Acct/Rpt Maintenance,GLM_IA,T,,glm_ia.aon,GLM.IA,,,,,
Consolidated Acct/Rpt Xref Report,GLR_CONSACCTXREF,A,,glr_consacctxref.aon,GLR.JA,,,Y,Y,
Create Departmental Reports,GLM_HA,T,,glm_ha.aon,GLM.HA,,,,,
Copy Financial Reports,GLM_JA,T,,glm_ja.aon,GLM.JA,,,,,
Financial Report Printing,GLR_FINANCIALS,T,GLR_FINANCIALS,,GLE.AA,,,Y,Y,
13 Period Financial Report Printing,GLR_13PERIOD,T,GLR_13PERIOD,,GLE.BA,,,Y,Y,
Period End Processing,GLMENU_PEND,G,,,,,,,,
Period End Update,GLU_PERIODEND,T,GLU_PERIODEND,,GLU.CA,,P,,,
Update Beginning Balances,GLR_BEGBAL,A,,glr_begbal.aon,GLR.HA,,P,,,
Year End Update,GLE_YEAREND,A,,gle_yearend.aon,GLU.DA,,P,,,
Purge Transaction History,GLU_PURGETRANS,T,GLU_PURGETRANS,,GLU.AA,,P,,
Maintenance,GLMENU_MAINT,G,,,,,,,
Account Master,GLM_ACCT,T,GLM_ACCT,,GLM.AA,SV/CLT,Y,Y,
Journal ID Codes,GLC_JOURNALCODE,T,GLC_JOURNALCODE,,GLM.CA,SV/CLT,Y,Y,
Posting Control,GLM_AUDITCONTROL,T,GLM_AUDITCONTROL,,GLM.BA,,,,
Cycle Codes,GLC_CYCLECODE,T,GLC_CYCLECODE,,GLM.LA,SV/CLT,Y,,
Recurring Journal Entry Header,GLE_RECJEHDR,T,GLE_RECJEHDR,,GLE.DA,,,,
Recurring Journal Entry Register,GLR_RECURRING,T,GLR_RECURRING,,GLR.NA,,,Y,Y
Parameters,GLMENU_PARAMS,G,ARS_PARAMS,,,,,,
Application Parameters,GLS_PARAMS,T,GLS_PARAMS,,GLP.AA,JL,Y,,
